jittered_title,seed_title,onet_code,onet_name
Senior Software Quality Assurance Engineer - Agile Methodologies,Software Quality Assurance Engineer (SQA Engineer),15-1253.00,Software Quality Assurance Analysts and Testers
SQA Engineer (Automation Testing) - Remote Opportunity,Software Quality Assurance Engineer (SQA Engineer),15-1253.00,Software Quality Assurance Analysts and Testers
Quality Assurance Engineer - Cloud-Based Products,Software Quality Assurance Engineer (SQA Engineer),15-1253.00,Software Quality Assurance Analysts and Testers
Software Quality Assurance Engineer - DevOps Team,Software Quality Assurance Engineer (SQA Engineer),15-1253.00,Software Quality Assurance Analysts and Testers
Lead SQA Engineer - Artificial Intelligence & Machine Learning Projects,Software Quality Assurance Engineer (SQA Engineer),15-1253.00,Software Quality Assurance Analysts and Testers
Pre-Construction Cost Estimator - Commercial High-Rise Buildings,Cost Estimator,13-1051.00,Cost Estimators
Senior Estimator - Heavy Civil Construction Projects,Cost Estimator,13-1051.00,Cost Estimators
Cost Estimator - Residential Home Builder,Cost Estimator,13-1051.00,Cost Estimators
"Estimator - Mechanical, Electrical, and Plumbing (MEP) Systems",Cost Estimator,13-1051.00,Cost Estimators
Cost Estimator - Oil and Gas Industry (Experience Required),Cost Estimator,13-1051.00,Cost Estimators
Custom Sewer and Alterations Specialist - High-End Fashion Boutique,Custom Sewer,51-6052.00,"Tailors, Dressmakers, and Custom Sewers"
Sewer - Custom Upholstery and Furniture (Workroom Assistant),Custom Sewer,51-6052.00,"Tailors, Dressmakers, and Custom Sewers"
Custom Sewing and Embroidery - Part-Time Position Available,Custom Sewer,51-6052.00,"Tailors, Dressmakers, and Custom Sewers"
Alterations Sewer - Tailoring and Clothing Repair,Custom Sewer,51-6052.00,"Tailors, Dressmakers, and Custom Sewers"
Custom Sewer - Costume Design for Film and Theater,Custom Sewer,51-6052.00,"Tailors, Dressmakers, and Custom Sewers"
Mobile Heavy Equipment Mechanic - Field Service Technician,Mobile Heavy Equipment Mechanic,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines"
"Heavy Equipment Mechanic - Crane, Forklift, and Aerial Lift Experience",Mobile Heavy Equipment Mechanic,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines"
Mobile Field Mechanic - Mining and Quarry Equipment,Mobile Heavy Equipment Mechanic,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines"
Heavy Duty Truck and Equipment Mechanic - Shop and Mobile Repair,Mobile Heavy Equipment Mechanic,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines"
Mobile Equipment Mechanic - Wind Farm and Renewable Energy,Mobile Heavy Equipment Mechanic,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines"
Design Editor - Digital Media and Publishing (Remote Work Option),Design Editor,43-9031.00,Desktop Publishers
Senior Design Editor - Branding and Advertising Agency,Design Editor,43-9031.00,Desktop Publishers
Editorial Design Specialist - Magazine and Online Content,Design Editor,43-9031.00,Desktop Publishers
Design Editor - User Experience (UX) and User Interface (UI),Design Editor,43-9031.00,Desktop Publishers
Creative Design Editor - Social Media and Influencer Marketing Campaigns,Design Editor,43-9031.00,Desktop Publishers
Forklift Operator - 2nd Shift - $18-$20/hr,Forklift Driver,53-7051.00,Industrial Truck and Tractor Operators
Warehouse Forklift Driver - Immediate Hire - No Experience Necessary,Forklift Driver,53-7051.00,Industrial Truck and Tractor Operators
Reach Truck/Forklift Driver - Full-Time - Benefits Included,Forklift Driver,53-7051.00,Industrial Truck and Tractor Operators
Forklift Driver Wanted - Manufacturing Environment - Overtime Available,Forklift Driver,53-7051.00,Industrial Truck and Tractor Operators
Material Handler/Forklift Operator - Day Shift - $16-$18/hr,Forklift Driver,53-7051.00,Industrial Truck and Tractor Operators
"Director, Sustainability Programs & Environmental Affairs",Sustainability Programs Director,11-1011.03,Chief Sustainability Officers
Sustainability Director - Lead Our Green Initiatives (Corporate Social Responsibility),Sustainability Programs Director,11-1011.03,Chief Sustainability Officers
"Senior Director, Global Sustainability Programs - Renewable Energy Focus",Sustainability Programs Director,11-1011.03,Chief Sustainability Officers
Director of Sustainability - Develop & Implement Eco-Friendly Strategies,Sustainability Programs Director,11-1011.03,Chief Sustainability Officers
"VP, Sustainability Programs & Stakeholder Engagement - ESG Expertise Required",Sustainability Programs Director,11-1011.03,Chief Sustainability Officers
Community Development Planner - Urban Planning Focus,Community Planner,19-3051.00,Urban and Regional Planners
Senior Community Planner - Transportation & Land Use,Community Planner,19-3051.00,Urban and Regional Planners
Community Planner - Housing & Economic Development (Full-Time),Community Planner,19-3051.00,Urban and Regional Planners
"Long Range Community Planner - Comprehensive Planning - $65,000-$80,000/yr",Community Planner,19-3051.00,Urban and Regional Planners
Community Engagement Planner - Public Outreach & Participation (Contract),Community Planner,19-3051.00,Urban and Regional Planners
"Licensed Nuclear Reactor Operator - Senior Role - $120,000/yr",Licensed Nuclear Operator,19-4051.00,Nuclear Technicians
Nuclear Power Plant Operator - Licensed - 12-Hour Shifts,Licensed Nuclear Operator,19-4051.00,Nuclear Technicians
Senior Licensed Nuclear Operator - Training Instructor - Nuclear Industry,Licensed Nuclear Operator,19-4051.00,Nuclear Technicians
Licensed Nuclear Operator (LNO) - Shift Supervisor - Nuclear Power,Licensed Nuclear Operator,19-4051.00,Nuclear Technicians
"Nuclear Control Room Operator - Licensed - $100,000-$150,000/yr",Licensed Nuclear Operator,19-4051.00,Nuclear Technicians
Financial Aid Counselor/Advisor - Higher Education - Student Services,Financial Aid Counselor,13-2072.00,Loan Officers
Senior Financial Aid Counselor - Scholarship & Grant Expertise,Financial Aid Counselor,13-2072.00,Loan Officers
Financial Aid Specialist/Counselor - Part-Time - Community College,Financial Aid Counselor,13-2072.00,Loan Officers
Financial Aid Counselor - Federal Student Aid Programs - Full-Time,Financial Aid Counselor,13-2072.00,Loan Officers
"Assistant Director, Financial Aid Counseling - Leadership Role - University Setting",Financial Aid Counselor,13-2072.00,Loan Officers
Banquet Server - Part Time (Weekends & Holidays),Banquet Server,35-3031.00,Waiters and Waitresses
Server - Banquet (Experience Required) - Luxury Hotel,Banquet Server,35-3031.00,Waiters and Waitresses
Banquet Server Wanted - High-Volume Events (Immediate Hire),Banquet Server,35-3031.00,Waiters and Waitresses
"Event Server - Banquets, Weddings, and Conferences",Banquet Server,35-3031.00,Waiters and Waitresses
Banquet Server (On-Call) - Upscale Venue in Downtown Area,Banquet Server,35-3031.00,Waiters and Waitresses
Tree Planter - Forestry Crew (Seasonal) - $15-$20/hour,Tree Planter,45-4011.00,Forest and Conservation Workers
Experienced Tree Planter Wanted - Reforestation Projects,Tree Planter,45-4011.00,Forest and Conservation Workers
Tree Planting Laborer - Summer Employment Opportunity,Tree Planter,45-4011.00,Forest and Conservation Workers
Forestry Technician - Tree Planting and Maintenance,Tree Planter,45-4011.00,Forest and Conservation Workers
Tree Planter (Contractor) - Government Funded Projects,Tree Planter,45-4011.00,Forest and Conservation Workers
Resource Analyst - IT Project Management Office (PMO),Resource Analyst,15-1299.02,Geographic Information Systems Technologists and Technicians
Senior Resource Analyst - Financial Planning and Analysis,Resource Analyst,15-1299.02,Geographic Information Systems Technologists and Technicians
Workforce Resource Analyst - HR Operations,Resource Analyst,15-1299.02,Geographic Information Systems Technologists and Technicians
Resource Allocation Analyst - Global Supply Chain,Resource Analyst,15-1299.02,Geographic Information Systems Technologists and Technicians
Business Resource Analyst - Data-Driven Decision Making,Resource Analyst,15-1299.02,Geographic Information Systems Technologists and Technicians
"Snack Bar Attendant - Part-Time, Afternoons (School Setting)",Snack Bar Attendant,35-3023.00,Fast Food and Counter Workers
Concession Stand Worker - Snack Bar Attendant (Event Staff),Snack Bar Attendant,35-3023.00,Fast Food and Counter Workers
Food Service Worker - Snack Bar (Customer Service Focus),Snack Bar Attendant,35-3023.00,Fast Food and Counter Workers
Snack Bar Associate - Cash Handling and Food Prep,Snack Bar Attendant,35-3023.00,Fast Food and Counter Workers
Recreation Center Snack Bar Attendant - Weekends and Holidays,Snack Bar Attendant,35-3023.00,Fast Food and Counter Workers
Materials Research Engineer - Nanotechnology (PhD Required),Materials Research Engineer,17-2131.00,Materials Engineers
Senior Materials Engineer - Research and Development,Materials Research Engineer,17-2131.00,Materials Engineers
Materials Scientist - Polymer Research (Industry Leading Company),Materials Research Engineer,17-2131.00,Materials Engineers
Research Engineer - Materials Science (Aerospace Industry),Materials Research Engineer,17-2131.00,Materials Engineers
Advanced Materials Research Engineer - Innovation and Patent Development,Materials Research Engineer,17-2131.00,Materials Engineers
School Treasurer - Financial Management & Budgeting,School Treasurer,11-3031.01,Treasurers and Controllers
Treasurer for Charter School System - Immediate Hire,School Treasurer,11-3031.01,Treasurers and Controllers
Public School District Treasurer - Experienced Professional Wanted,School Treasurer,11-3031.01,Treasurers and Controllers
School Business Treasurer - Part-Time Opportunity,School Treasurer,11-3031.01,Treasurers and Controllers
Charter School Treasurer - Financial Leadership Role,School Treasurer,11-3031.01,Treasurers and Controllers
HR Personnel Assistant - Recruitment & Onboarding,Personnel Assistant,43-3051.00,Payroll and Timekeeping Clerks
Personnel Assistant (Part-Time) - Local Government Agency,Personnel Assistant,43-3051.00,Payroll and Timekeeping Clerks
"Assistant, Personnel - Employee Relations & Benefits",Personnel Assistant,43-3051.00,Payroll and Timekeeping Clerks
Personnel Administrative Assistant - School District Office,Personnel Assistant,43-3051.00,Payroll and Timekeeping Clerks
Military Personnel Assistant - Administrative Support Role,Personnel Assistant,43-3051.00,Payroll and Timekeeping Clerks
"Director, Regulatory Affairs Quality Assurance - Medical Devices",Regulatory Affairs Quality Assurance Director (RA QA Director),11-9199.01,Regulatory Affairs Managers
Regulatory Affairs & Quality Assurance Director - Biotech Industry,Regulatory Affairs Quality Assurance Director (RA QA Director),11-9199.01,Regulatory Affairs Managers
RA QA Director - Pharmaceutical Company - Senior Leadership,Regulatory Affairs Quality Assurance Director (RA QA Director),11-9199.01,Regulatory Affairs Managers
"Vice President, Regulatory Affairs & Quality Assurance - Global Role",Regulatory Affairs Quality Assurance Director (RA QA Director),11-9199.01,Regulatory Affairs Managers
Regulatory Affairs Quality Assurance Director - Cosmetics & Personal Care,Regulatory Affairs Quality Assurance Director (RA QA Director),11-9199.01,Regulatory Affairs Managers
Senior Systems Administrator - Cloud Infrastructure (AWS/Azure),Systems Administrator (Systems Admin),15-1242.00,Database Administrators
Systems Administrator (Linux/Windows) - Overnight Shift,Systems Administrator (Systems Admin),15-1242.00,Database Administrators
Junior Systems Administrator - Help Desk & Technical Support,Systems Administrator (Systems Admin),15-1242.00,Database Administrators
Systems Admin - Cybersecurity Focus - Clearance Required,Systems Administrator (Systems Admin),15-1242.00,Database Administrators
Lead Systems Administrator - Network Operations Center (NOC),Systems Administrator (Systems Admin),15-1242.00,Database Administrators
Industrial Machinery Mechanic - Manufacturing Plant Maintenance,Industrial Machinery Mechanic,49-9041.00,Industrial Machinery Mechanics
"Mechanic, Industrial Machinery - Food Processing Industry",Industrial Machinery Mechanic,49-9041.00,Industrial Machinery Mechanics
Senior Industrial Mechanic - Millwright & Welding Experience,Industrial Machinery Mechanic,49-9041.00,Industrial Machinery Mechanics
Industrial Machinery Repair Mechanic - Field Service Role,Industrial Machinery Mechanic,49-9041.00,Industrial Machinery Mechanics
Maintenance Mechanic - Industrial Machinery & Equipment Repair,Industrial Machinery Mechanic,49-9041.00,Industrial Machinery Mechanics
Sales Team Lead - Retail Department Supervisor,Sales Department Supervisor,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers
Department Supervisor - Sales Floor Operations (Full-Time),Sales Department Supervisor,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers
Sales Department Supervisor - Luxury Goods (Beverly Hills),Sales Department Supervisor,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers
"Supervisor, Sales Department - High-End Fashion Brand",Sales Department Supervisor,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers
Sales Floor Supervisor - Department Manager (Mall Location),Sales Department Supervisor,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers
Bindery Worker - 2nd Shift (Monday - Friday),Bindery Worker,51-5113.00,Print Binding and Finishing Workers
Entry-Level Bindery Worker - No Experience Necessary (Training Provided),Bindery Worker,51-5113.00,Print Binding and Finishing Workers
Bindery Worker Wanted - Finishing Department (Printing Company),Bindery Worker,51-5113.00,Print Binding and Finishing Workers
"Bindery Assistant - Part-Time, Flexible Hours (Publishing House)",Bindery Worker,51-5113.00,Print Binding and Finishing Workers
Experienced Bindery Worker - Folder Operator (Manufacturing Environment),Bindery Worker,51-5113.00,Print Binding and Finishing Workers
Senior Information Technology Security Analyst (IT Security Analyst) - Remote,Information Technology Security Analyst (IT Security Analyst),15-1212.00,Information Security Analysts
IT Security Analyst - Threat Intelligence (Government Contract),Information Technology Security Analyst (IT Security Analyst),15-1212.00,Information Security Analysts
Information Security Analyst - Compliance & Risk (Financial Institution),Information Technology Security Analyst (IT Security Analyst),15-1212.00,Information Security Analysts
Cyber Security Analyst (IT Security) - Incident Response Team,Information Technology Security Analyst (IT Security Analyst),15-1212.00,Information Security Analysts
Information Technology Security Analyst (ITSA) - Cloud Security Specialist,Information Technology Security Analyst (IT Security Analyst),15-1212.00,Information Security Analysts
Cocktail Server - High-Volume Nightclub (Downtown Area),Cocktail Server,35-3031.00,Waiters and Waitresses
Part-Time Cocktail Server - Upscale Restaurant (Weekends Only),Cocktail Server,35-3031.00,Waiters and Waitresses
Experienced Cocktail Server - Luxury Hotel Bar (Tips Guaranteed),Cocktail Server,35-3031.00,Waiters and Waitresses
Cocktail Server Wanted - Casual Dining Restaurant (Flexible Shifts),Cocktail Server,35-3031.00,Waiters and Waitresses
Bartender/Cocktail Server - Dual Role (Sports Bar & Grill),Cocktail Server,35-3031.00,Waiters and Waitresses
Licensed Family Therapist - Private Practice (Outpatient Services),Family Therapist,21-1013.00,Marriage and Family Therapists
Family Therapist - Non-Profit Organization (Bilingual Preferred),Family Therapist,21-1013.00,Marriage and Family Therapists
"Therapist, Family - In-Home Therapy Services (Travel Required)",Family Therapist,21-1013.00,Marriage and Family Therapists
Family Therapist Position - Mental Health Clinic (Full-Time),Family Therapist,21-1013.00,Marriage and Family Therapists
Experienced Family Therapist - Group Practice (Competitive Salary & Benefits),Family Therapist,21-1013.00,Marriage and Family Therapists
